ID,Customer Types → Display Name,Industries → Name
6119,Sole Proprietorship,Others
6122,Enterprise,General Services
6125,Sole Proprietorship,Digital Services
6126,Sole Proprietorship,General Services
6128,Sole Proprietorship,Restaurant and Food
6133,Sole Proprietorship,Digital Services
6135,Sole Proprietorship,Fashion & Beauty
6141,Enterprise,Digital Services
6142,Sole Proprietorship,Fashion & Beauty
6144,Limited Liability,General Services
6145,Limited Liability,Technology
6147,Sole Proprietorship,Technology
6148,Enterprise,Technology
6150,Limited Liability,Technology
6151,Enterprise,Food & Beverage
6154,Enterprise,Religious Organizations
6155,Sole Proprietorship,Restaurant and Food
6162,Enterprise,Food & Beverage
6165,Enterprise,Fashion & Beauty
6166,Enterprise,Food & Beverage
6167,Enterprise,Leisure & Entertainment
6168,Enterprise,General Services
6169,Enterprise,Fashion & Beauty
6171,Enterprise,Religious Organizations
6175,Sole Proprietorship,Digital Services
6179,Enterprise,Others
6183,Limited Liability,E-Commerce
6184,Enterprise,Hospitals & Health
6185,Sole Proprietorship,Others
6186,Limited Liability,Financial Services
6187,Limited Liability,Financial Services
6188,Limited Liability,Construction
6190,Enterprise,Digital Services
6191,Enterprise,Agriculture
6192,Limited Liability,Agriculture
6194,Limited Liability,Technology
6201,Enterprise,Fashion & Beauty
6203,Limited Liability,Technology
6204,Enterprise,Haulage
6205,Enterprise,Fashion & Beauty
6206,Enterprise,Fashion & Beauty
6207,Limited Liability,General Services
6210,Limited Liability,Leisure & Entertainment
6212,Enterprise,Food & Beverage
6215,Limited Liability,Technology
6219,Limited Liability,Financial Services
6221,Sole Proprietorship,Digital Services
6224,Enterprise,Others
6225,Enterprise,Food & Beverage
6227,Limited Liability,Technology
6228,Enterprise,Fashion & Beauty
6229,Sole Proprietorship,Agriculture
6230,Enterprise,Fashion & Beauty
6231,Enterprise,Food & Beverage
6236,Enterprise,General Services
6237,Enterprise,Digital Services
6238,Limited Liability,Agriculture
6239,Enterprise,General Services
6240,Enterprise,Fashion & Beauty
6242,Enterprise,General Services
6243,Enterprise,Food & Beverage
6247,Enterprise,E-Commerce
6250,Sole Proprietorship,Digital Services
6251,Enterprise,Press & Media
6253,Enterprise,Fashion & Beauty
6260,Limited Liability,Others
6263,Enterprise,Food & Beverage
6266,Enterprise,Fashion & Beauty
6268,Enterprise,Leisure & Entertainment
6269,Enterprise,Hospitals & Health
6271,Enterprise,Financial Services
6275,Enterprise,Food & Beverage
6276,Enterprise,Fashion & Beauty
6278,Sole Proprietorship,Others
6280,Enterprise,Others
6281,Enterprise,Auto Parts
6282,Sole Proprietorship,Food & Beverage
6285,Sole Proprietorship,Food & Beverage
6291,Enterprise,Fashion & Beauty
6292,Sole Proprietorship,Digital Services
6293,Enterprise,Others
6294,Enterprise,Fashion & Beauty
6296,Enterprise,Fashion & Beauty
6297,Enterprise,Technology
6298,Enterprise,Agriculture
6299,Enterprise,Others
6300,Enterprise,Financial Services
6303,Enterprise,Financial Services
6305,Enterprise,Fashion & Beauty
6306,Enterprise,Fashion & Beauty
6312,Limited Liability,Food & Beverage
6313,Enterprise,Fashion & Beauty
6314,Enterprise,Digital Services
6317,Enterprise,Digital Services
6319,Enterprise,Fashion & Beauty
6320,Enterprise,Fashion & Beauty
6321,Enterprise,Financial Services
6326,Enterprise,Technology
6328,Enterprise,Technology
6330,Enterprise,Fashion & Beauty
6332,Enterprise,General Services
6335,Enterprise,Fashion & Beauty
6338,Enterprise,Fashion & Beauty
6339,Enterprise,Fashion & Beauty
6340,Sole Proprietorship,Utilities
6344,Sole Proprietorship,Logistics
6345,Sole Proprietorship,Digital Services
6348,Enterprise,General Services
6350,Enterprise,Furniture
6351,Sole Proprietorship,Food & Beverage
6353,Enterprise,Others
6355,Sole Proprietorship,Others
6356,Limited Liability,Travel & Hospitality
6358,Enterprise,Digital Services
6359,Enterprise,Fashion & Beauty
6360,Enterprise,Electronics
6361,Enterprise,Fashion & Beauty
6363,Enterprise,Logistics
6366,Limited Liability,General Services
6369,Limited Liability,Technology
6370,Sole Proprietorship,E-Commerce
6372,Enterprise,General Services
6373,Enterprise,Others
6374,Enterprise,Others
6377,Enterprise,Fashion & Beauty
6378,Enterprise,Digital Services
6379,Enterprise,Others
6380,Limited Liability,Digital Services
6381,Enterprise,Others
6385,Sole Proprietorship,Food & Beverage
6390,Enterprise,Digital Services
6391,Enterprise,Digital Services
6392,Enterprise,Leisure & Entertainment
6394,Enterprise,Technology
6395,Limited Liability,Fashion & Beauty
6397,Enterprise,Fashion & Beauty
6398,Enterprise,Fashion & Beauty
6400,Enterprise,General Services
6401,Partnership,Fashion & Beauty
6403,Enterprise,Fashion & Beauty
6405,Limited Liability,Financial Services
6407,Sole Proprietorship,Electronics
6408,Limited Liability,E-Commerce
6410,Enterprise,Fashion & Beauty
6412,Sole Proprietorship,Press & Media
6416,NGO,NGOs
6417,Limited Liability,Technology
6419,Enterprise,Haulage
6421,Enterprise,Food & Beverage
6424,Enterprise,Food & Beverage
6425,Enterprise,Household items
6426,Enterprise,Others
6427,Enterprise,Food & Beverage
6428,Enterprise,Fashion & Beauty
6430,Limited Liability,General Services
6431,Enterprise,Fashion & Beauty
6433,Enterprise,Agriculture
6434,Enterprise,General Services
6435,Limited Liability,Others
6437,Sole Proprietorship,General Services
6441,Enterprise,Fashion & Beauty
6443,Partnership,General Services
6445,Sole Proprietorship,Hospitals & Health
6446,Enterprise,Technology
6448,Enterprise,Fashion & Beauty
6449,Enterprise,Auto Parts
6450,Enterprise,Fashion & Beauty
6451,Sole Proprietorship,Hospitals & Health
6453,Sole Proprietorship,General Services
6456,Sole Proprietorship,E-Commerce
6462,Limited Liability,Digital Services
6468,Limited Liability,Financial Services
6469,Sole Proprietorship,Food & Beverage
6470,Sole Proprietorship,Restaurant and Food
6473,Enterprise,Fashion & Beauty
6474,Enterprise,Household items
6475,Enterprise,Food & Beverage
6476,Enterprise,Construction
6477,Enterprise,Auto Parts
6480,Enterprise,Construction
6481,Enterprise,General Services
6482,Enterprise,Others
6488,Limited Liability,Food & Beverage
6490,Enterprise,Fashion & Beauty
6491,Limited Liability,Agriculture
6493,Enterprise,Digital Services
6494,Enterprise,Fashion & Beauty
6495,Sole Proprietorship,E-Commerce
6498,Limited Liability,Others
6500,Sole Proprietorship,Others
6516,Limited Liability,Food & Beverage
6517,Enterprise,General Services
6518,Sole Proprietorship,Fashion & Beauty
6520,Limited Liability,Technology
6526,Partnership,E-Commerce
6527,Limited Liability,E-Commerce
6528,Enterprise,Agriculture
6530,Partnership,Fashion & Beauty
6532,Enterprise,Fashion & Beauty
6533,Limited Liability,Others
6535,Sole Proprietorship,Press & Media
6536,Enterprise,Fashion & Beauty
6537,Partnership,Others
6543,Sole Proprietorship,Others
6544,Limited Liability,Construction
6552,Limited Liability,Logistics
6553,Limited Liability,Digital Services
6557,Enterprise,Agriculture
6560,Enterprise,Leisure & Entertainment
6561,Limited Liability,Financial Services
6562,Enterprise,Digital Services
6563,Enterprise,Food & Beverage
6564,Enterprise,Travel & Hospitality
6565,Enterprise,Agriculture
6568,Partnership,Schools
6570,Enterprise,Leisure & Entertainment
6573,Limited Liability,Digital Services
6575,Enterprise,Fashion & Beauty
6577,Limited Liability,Digital Services
6584,Enterprise,General Services
6585,Enterprise,Food & Beverage
6588,Limited Liability,Technology
6590,Enterprise,Food & Beverage
6595,Enterprise,Fashion & Beauty
6597,Enterprise,Household items
6598,Enterprise,Construction
6599,Enterprise,Agriculture
6600,Sole Proprietorship,General Services
6602,Enterprise,General Services
6604,Enterprise,Financial Services
6612,Enterprise,Food & Beverage
6613,Enterprise,Fashion & Beauty
6616,Enterprise,Fashion & Beauty
6617,Enterprise,Fashion & Beauty
6621,Sole Proprietorship,Fashion & Beauty
6622,Limited Liability,Others
6623,Sole Proprietorship,General Services
6626,Enterprise,Financial Services
6628,Enterprise,Digital Services
6630,Enterprise,General Services
6632,Enterprise,Household items
6633,Enterprise,General Services
6636,Enterprise,Fashion & Beauty
6638,Enterprise,Others
6642,Limited Liability,Financial Services
6643,Enterprise,Agriculture
6646,Limited Liability,Digital Services
6647,Enterprise,Others
6648,Sole Proprietorship,Technology
6651,Sole Proprietorship,Technology
6652,Enterprise,Others
6653,Enterprise,Leisure & Entertainment
6654,Enterprise,E-Commerce
6657,Enterprise,General Services
6659,Enterprise,Fashion & Beauty
6661,Enterprise,Food & Beverage
6662,Enterprise,Food & Beverage
6664,Enterprise,Agriculture
6666,Enterprise,Fashion & Beauty
6667,Limited Liability,Fashion & Beauty
6669,Enterprise,Food & Beverage
6674,Enterprise,Electronics
6675,Sole Proprietorship,Logistics
6676,Enterprise,Fashion & Beauty
6677,Enterprise,Food & Beverage
6678,Enterprise,Construction
6679,Enterprise,Food & Beverage
6682,Enterprise,Restaurant and Food
6683,Enterprise,Fashion & Beauty
6684,Enterprise,Furniture
6690,Sole Proprietorship,Logistics
6691,Enterprise,Fashion & Beauty
6692,Enterprise,Financial Services
6693,Enterprise,Food & Beverage
6696,Enterprise,Electronics
6700,Enterprise,Household items
6701,Enterprise,Food & Beverage
6702,Enterprise,Fashion & Beauty
6705,Enterprise,Fashion & Beauty
6707,Enterprise,General Services
6708,Enterprise,Fashion & Beauty
6709,Limited Liability,Construction
6710,Enterprise,Fashion & Beauty
6711,Enterprise,Fashion & Beauty
6713,Limited Liability,Utilities
6716,Enterprise,NGOs
6717,Enterprise,Electronics
6719,Enterprise,Press & Media
6720,Enterprise,Food & Beverage
6721,Enterprise,General Services
6725,Enterprise,Fashion & Beauty
6726,Sole Proprietorship,Digital Services
6729,Limited Liability,General Services
6731,Enterprise,Hospitals & Health
6734,Enterprise,Electronics
6736,Enterprise,Fashion & Beauty
6737,Enterprise,Electronics
6738,Enterprise,Electronics
6741,Enterprise,Electronics
6742,Limited Liability,Fashion & Beauty
6743,Enterprise,Food & Beverage
6744,Enterprise,Electronics
6747,Enterprise,Fashion & Beauty
6748,Enterprise,Fashion & Beauty
6751,Enterprise,Others
6753,Enterprise,Fashion & Beauty
6754,Partnership,Digital Services
6756,Enterprise,Fashion & Beauty
6758,Enterprise,Food & Beverage
6760,Sole Proprietorship,Press & Media
6765,Enterprise,Others
6768,Enterprise,Fashion & Beauty
6769,Limited Liability,Restaurant and Food
6773,Enterprise,Electronics
6774,Enterprise,Digital Services
6775,Enterprise,Others
6776,Enterprise,Fashion & Beauty
6777,Enterprise,Digital Services
6778,Enterprise,Fashion & Beauty
6781,Enterprise,Restaurant and Food
6782,Enterprise,Digital Services
6783,Enterprise,Digital Services
6785,Enterprise,Fashion & Beauty
6786,Enterprise,Technology
6788,Enterprise,General Services
6791,Enterprise,NGOs
6793,Sole Proprietorship,Fashion & Beauty
6799,Sole Proprietorship,Technology
6800,Sole Proprietorship,E-Commerce
6802,Limited Liability,Financial Services
6803,Limited Liability,Technology
6805,Enterprise,Fashion & Beauty
6807,Limited Liability,Digital Services
6808,Enterprise,Digital Services
6811,Enterprise,General Services
6812,Limited Liability,E-Commerce
6813,Enterprise,Household items
6814,Enterprise,E-Commerce
6815,Enterprise,Fashion & Beauty
6816,Sole Proprietorship,Restaurant and Food
6823,Enterprise,Fashion & Beauty
6824,Enterprise,General Services
6825,Sole Proprietorship,Construction
6826,Enterprise,Technology
6828,Enterprise,Fashion & Beauty
6831,Enterprise,Technology
6832,Enterprise,General Services
6834,Limited Liability,Technology
6835,Enterprise,Fashion & Beauty
6836,Enterprise,Furniture
6837,Sole Proprietorship,Travel & Hospitality
6839,Enterprise,Digital Services
6840,Enterprise,Technology
6841,Enterprise,Financial Services
6842,Enterprise,Financial Services
6844,Enterprise,Food & Beverage
6845,Limited Liability,General Services
6846,Enterprise,Electronics
6848,Enterprise,General Services
6849,Enterprise,Food & Beverage
6853,Enterprise,General Services
6854,Enterprise,Fashion & Beauty
6857,Sole Proprietorship,Others
6859,Sole Proprietorship,Fashion & Beauty
6860,NGO,NGOs
6861,Partnership,Auto Parts
6862,Enterprise,General Services
6863,Enterprise,Food & Beverage
6864,Enterprise,Electronics
6865,Enterprise,General Services
6866,Enterprise,Food & Beverage
6868,Partnership,General Services
6869,Enterprise,Financial Services
6871,Sole Proprietorship,Fashion & Beauty
6875,Limited Liability,Hospitals & Health
6879,Sole Proprietorship,Fashion & Beauty
6882,Limited Liability,Digital Services
6886,Enterprise,Fashion & Beauty
6892,Enterprise,Fashion & Beauty
6895,Enterprise,Press & Media
6897,Partnership,E-Commerce
6898,Enterprise,General Services
6899,Enterprise,Financial Services
6901,Limited Liability,Restaurant and Food
6904,Enterprise,Technology
6906,Limited Liability,Others
6907,Enterprise,Technology
6908,Enterprise,Digital Services
6909,Limited Liability,General Services
6910,Enterprise,Digital Services
6912,Enterprise,Fashion & Beauty
6913,Limited Liability,Others
6919,Enterprise,Fashion & Beauty
6920,Enterprise,Financial Services
6926,Enterprise,Others
6928,Enterprise,E-Commerce
6931,Sole Proprietorship,Construction
6933,Limited Liability,Financial Services
6934,Enterprise,General Services
6935,Enterprise,Financial Services
6936,Enterprise,Fashion & Beauty
6938,Enterprise,Food & Beverage
6939,Enterprise,Technology
6941,Sole Proprietorship,Food & Beverage
6947,Enterprise,Financial Services
6948,Enterprise,Technology
6950,Enterprise,Fashion & Beauty
6951,Limited Liability,Others
6953,Enterprise,Digital Services
6955,Enterprise,Religious Organizations
6958,Enterprise,Schools
6959,Enterprise,Logistics
6970,Sole Proprietorship,Fashion & Beauty
6971,Enterprise,Food & Beverage
6972,Enterprise,Financial Services
6973,Enterprise,Others
6974,Enterprise,Electronics
6975,Partnership,Press & Media
6976,Enterprise,Schools
6977,NGO,Others
6980,Enterprise,Fashion & Beauty
6983,Enterprise,Financial Services
6986,Enterprise,Digital Services
6990,Partnership,Others
6991,Partnership,General Services
6992,Enterprise,Technology
6995,Enterprise,Electronics
6996,Enterprise,Fashion & Beauty
6998,Enterprise,Fashion & Beauty
6999,Enterprise,Food & Beverage
7000,Partnership,Technology
7001,Sole Proprietorship,Technology
7003,Enterprise,Food & Beverage
7004,Enterprise,General Services
7006,Enterprise,Fashion & Beauty
7008,Enterprise,Food & Beverage
7011,Enterprise,Financial Services
7012,Limited Liability,Electronics
7014,Enterprise,General Services
7019,Enterprise,Technology
7020,Enterprise,Food & Beverage
7022,Enterprise,Food & Beverage
7026,Sole Proprietorship,E-Commerce
7027,Enterprise,E-Commerce
7034,Enterprise,Others
7036,Enterprise,Fashion & Beauty
7041,Enterprise,Fashion & Beauty
7043,Enterprise,Travel & Hospitality
7044,Enterprise,General Services
7045,Enterprise,Construction
7046,Sole Proprietorship,Digital Services
7051,Sole Proprietorship,E-Commerce
7052,Sole Proprietorship,Fashion & Beauty
7053,Enterprise,Digital Services
7060,Enterprise,Electronics
7061,Enterprise,Fashion & Beauty
7063,Limited Liability,Digital Services
7067,Enterprise,Fashion & Beauty
7073,Enterprise,Food & Beverage
7074,Enterprise,Food & Beverage
7075,Enterprise,Auto Parts
7076,Enterprise,Fashion & Beauty
7078,Enterprise,Technology
7079,Sole Proprietorship,Technology
7083,Enterprise,Fashion & Beauty
7085,Enterprise,Others
7087,Enterprise,Fashion & Beauty
7089,Limited Liability,Technology
7090,Limited Liability,Others
7091,Enterprise,Financial Services
7093,Enterprise,Digital Services
7094,Enterprise,Financial Services
7098,Partnership,Financial Services
7103,Sole Proprietorship,General Services
7105,Enterprise,General Services
7106,Enterprise,Financial Services
7109,Sole Proprietorship,Technology
7111,Enterprise,General Services
7112,Enterprise,Fashion & Beauty
7113,Limited Liability,General Services
7114,Enterprise,Digital Services
7115,Enterprise,General Services
7118,Enterprise,General Services
7121,Enterprise,Fashion & Beauty
7122,Enterprise,Fashion & Beauty
7123,Enterprise,Fashion & Beauty
7125,Enterprise,Auto Parts
7126,Enterprise,Fashion & Beauty
7127,Enterprise,Technology
7129,Enterprise,Technology
7134,Enterprise,Technology
7136,Enterprise,Fashion & Beauty
7137,Sole Proprietorship,Logistics
7140,Enterprise,Auto Parts
7143,Enterprise,Fashion & Beauty
7144,Enterprise,Technology
7145,Sole Proprietorship,Technology
7146,Limited Liability,Financial Services
7149,Enterprise,Fashion & Beauty
7150,Enterprise,Fashion & Beauty
7154,Sole Proprietorship,Agriculture
7155,Enterprise,Furniture
7156,Enterprise,Household items
7157,Enterprise,Fashion & Beauty
7158,Enterprise,Fashion & Beauty
7159,Enterprise,E-Commerce
7161,Sole Proprietorship,Technology
7169,Enterprise,Agriculture
7170,Enterprise,Fashion & Beauty
7171,Limited Liability,Technology
7172,Enterprise,Food & Beverage
7175,Enterprise,Auto Parts
7176,Sole Proprietorship,Auto Parts
7179,Limited Liability,General Services
7181,Limited Liability,E-Commerce
7183,Sole Proprietorship,Others
7192,Sole Proprietorship,Construction
7193,Sole Proprietorship,Fashion & Beauty
7194,Enterprise,Household items
7196,Enterprise,Auto Parts
7198,Enterprise,Financial Services
7200,Enterprise,Fashion & Beauty
7201,Limited Liability,Logistics
7204,Enterprise,Fashion & Beauty
7205,Limited Liability,General Services
7206,Enterprise,Others
7207,Enterprise,Fashion & Beauty
7208,Enterprise,Hospitals & Health
7210,Enterprise,Fashion & Beauty
7214,Limited Liability,Construction
7217,Enterprise,Electronics
7221,Limited Liability,Digital Services
7222,Limited Liability,Others
7226,Enterprise,Fashion & Beauty
7230,Sole Proprietorship,Fashion & Beauty
7231,Limited Liability,General Services
7234,Enterprise,Fashion & Beauty
7236,Enterprise,Food & Beverage
7238,Enterprise,Others
7239,Sole Proprietorship,Fashion & Beauty
7240,Enterprise,Digital Services
7241,Enterprise,Technology
7243,Limited Liability,Financial Services
7246,Enterprise,Fashion & Beauty
7247,Enterprise,Food & Beverage
7250,Limited Liability,Technology
7251,Enterprise,Agriculture
7252,Sole Proprietorship,Food & Beverage
7258,Enterprise,Digital Services
7261,Enterprise,Logistics
7263,Enterprise,Electronics
7264,Enterprise,Electronics
7265,Enterprise,Technology
7268,Enterprise,Technology
7270,Sole Proprietorship,Leisure & Entertainment
7273,Enterprise,Fashion & Beauty
7274,Enterprise,General Services
7277,Enterprise,Fashion & Beauty
7284,Limited Liability,Others
7285,Enterprise,Electronics
7286,Enterprise,Agriculture
7288,Enterprise,Technology
7289,Limited Liability,Digital Services
7290,Enterprise,Fashion & Beauty
7291,Enterprise,Others
7295,Enterprise,Electronics
7297,Enterprise,Technology
7300,Enterprise,Fashion & Beauty
7303,Limited Liability,Others
7305,Enterprise,Financial Services
7306,Enterprise,Financial Services
7309,Enterprise,Press & Media
7310,Enterprise,General Services
7313,Enterprise,General Services
7318,Enterprise,Fashion & Beauty
7320,Enterprise,Restaurant and Food
7321,Enterprise,Fashion & Beauty
7322,Enterprise,Fashion & Beauty
7327,Enterprise,General Services
7329,Enterprise,Fashion & Beauty
7330,Limited Liability,Technology
7331,Enterprise,Fashion & Beauty
7332,Sole Proprietorship,Others
7333,Limited Liability,Others
7334,Sole Proprietorship,Agriculture
7335,Enterprise,Agriculture
7336,Enterprise,Technology
7337,Enterprise,Financial Services
7339,Enterprise,Food & Beverage
7340,Limited Liability,General Services
7341,Limited Liability,General Services
7342,Enterprise,Technology
7343,Enterprise,Construction
7345,Enterprise,Restaurant and Food
7352,Enterprise,Utilities
7353,Enterprise,Fashion & Beauty
7354,Enterprise,Others
7355,Enterprise,General Services
7356,Enterprise,Others
7359,Sole Proprietorship,Digital Services
7364,Sole Proprietorship,Technology
7365,Sole Proprietorship,Technology
7370,Enterprise,Digital Services
7373,Enterprise,Fashion & Beauty
7377,Enterprise,Furniture
7380,Enterprise,Food & Beverage
7382,Enterprise,Others
7384,Enterprise,Technology
7388,Limited Liability,Technology
7390,Enterprise,Fashion & Beauty
7392,Enterprise,Technology
7395,Enterprise,Food & Beverage
7397,Enterprise,Fashion & Beauty
7402,Sole Proprietorship,Logistics
7404,Sole Proprietorship,Agriculture
7408,Enterprise,Fashion & Beauty
7433,Limited Liability,Technology
7440,Enterprise,Food & Beverage
7443,Limited Liability,Financial Services
7444,Enterprise,Digital Services
7445,Enterprise,Agriculture
7449,Enterprise,Agriculture
7450,Enterprise,Electronics
7452,Sole Proprietorship,Fashion & Beauty
7453,Enterprise,Electronics
7454,Enterprise,General Services
7455,Enterprise,Electronics
7459,Enterprise,General Services
7464,Sole Proprietorship,Fashion & Beauty
7465,Limited Liability,Financial Services
7467,Enterprise,Food & Beverage
7469,Enterprise,Fashion & Beauty
7470,Enterprise,Fashion & Beauty
7471,Enterprise,Auto Parts
7537,Sole Proprietorship,Utilities
7549,Sole Proprietorship,Financial Services
7555,Sole Proprietorship,Logistics
7579,Sole Proprietorship,Financial Services
7581,Limited Liability,Travel & Hospitality
7582,Sole Proprietorship,Digital Services
7589,Enterprise,Fashion & Beauty
7590,Enterprise,Digital Services
7591,Limited Liability,Digital Services
7593,Enterprise,Technology
7594,Partnership,Digital Services
7595,Sole Proprietorship,General Services
7600,Enterprise,Digital Services
7602,Enterprise,Fashion & Beauty
7606,Sole Proprietorship,Agriculture
7609,Enterprise,Logistics
7617,Sole Proprietorship,Technology
7644,Enterprise,General Services
7647,Enterprise,Food & Beverage
7648,Enterprise,Utilities
7649,Enterprise,Fashion & Beauty
7650,Enterprise,Fashion & Beauty
7652,Limited Liability,Technology
7653,Enterprise,Restaurant and Food
7658,Enterprise,Food & Beverage
7660,Enterprise,Financial Services
7661,Enterprise,Hospitals & Health
7663,Partnership,E-Commerce
7665,Enterprise,Fashion & Beauty
7666,Enterprise,Food & Beverage
7667,Enterprise,Fashion & Beauty
7669,Sole Proprietorship,General Services
7671,Partnership,Leisure & Entertainment
7683,Enterprise,Leisure & Entertainment
7684,Enterprise,Construction
7692,Limited Liability,Digital Services
7695,Enterprise,Restaurant and Food
7696,Sole Proprietorship,General Services
7697,Enterprise,Fashion & Beauty
7700,Enterprise,General Services
7701,Enterprise,General Services
7703,Enterprise,General Services
7710,Limited Liability,Technology
7713,Enterprise,Construction
7715,Partnership,Technology
7734,Enterprise,E-Commerce
7739,Enterprise,Food & Beverage
7746,Enterprise,General Services
7748,Enterprise,Digital Services
7750,Sole Proprietorship,Others
7755,Enterprise,Hospitals & Health
7756,Enterprise,Technology
7757,Enterprise,Construction
7758,Enterprise,Fashion & Beauty
7760,Enterprise,Fashion & Beauty
7763,Enterprise,Food & Beverage
7764,Enterprise,Fashion & Beauty
7765,Enterprise,Food & Beverage
7766,Enterprise,Food & Beverage
7767,Limited Liability,Fashion & Beauty
7768,Sole Proprietorship,Digital Services
7769,Sole Proprietorship,Hospitals & Health
7770,Sole Proprietorship,Fashion & Beauty
7774,Enterprise,Electronics
7815,Enterprise,Others
7817,Sole Proprietorship,Digital Services
7818,Enterprise,Restaurant and Food
7821,Limited Liability,Financial Services
7826,Enterprise,Food & Beverage
7833,Enterprise,Digital Services
7835,Enterprise,Furniture
7836,Enterprise,Digital Services
7837,Enterprise,Others
7839,Enterprise,Others
7840,Enterprise,Food & Beverage
7843,Enterprise,Agriculture
7845,Sole Proprietorship,Technology
7846,Enterprise,Others
7851,Limited Liability,Logistics
7852,Sole Proprietorship,E-Commerce
7856,Sole Proprietorship,General Services
7881,Sole Proprietorship,Fashion & Beauty
7886,Sole Proprietorship,Others
7892,Limited Liability,Auto Parts
7907,Enterprise,Others
