id,registration_type,industry,transaction_type,amount,ledger_balance,available_balance,date,difference,churn
6055,Limited Liability,Leisure & Entertainment,credit,6.0,0.0,0.0,2022-01-20,122,0
6059,Limited Liability,General Services,credit,26.88,-241.89,-241.89,2022-03-11,9,0
6061,Partnership,E-Commerce,credit,26.88,0.0,0.0,2022-01-20,289,1
6062,Limited Liability,E-Commerce,credit,10.75,-991.44,-991.44,2022-01-12,205,1
6064,Limited Liability,Technology,credit,1.0,0.0,0.0,2022-01-08,313,1
6066,Enterprise,Fashion & Beauty,credit,2.0,0.0,0.0,2022-01-04,92,0
6073,Limited Liability,Hospitals & Health,credit,12.0,0.0,0.0,2022-02-02,184,0
6076,Limited Liability,Financial Services,credit,10.75,0.0,0.0,2022-04-28,2,0
6077,Partnership,Others,credit,17.0,-107.51,-107.51,2022-01-05,12,0
6080,Limited Liability,Digital Services,credit,10.75,0.0,0.0,2022-01-06,351,1
6088,Sole Proprietorship,Digital Services,credit,0.0,-828.17,-828.17,2022-02-16,2,0
6104,Limited Liability,Financial Services,credit,10.0,0.0,0.0,2022-02-13,1,0
6109,Enterprise,Technology,credit,10.75,0.0,0.0,2022-09-15,10,0
6119,Sole Proprietorship,Others,credit,5000.0,0.0,0.0,2022-01-10,356,1
6125,Sole Proprietorship,Digital Services,credit,10.75,0.0,0.0,2022-08-25,18,0
6126,Sole Proprietorship,General Services,credit,4.0,-37.63,-37.63,2022-01-11,1,0
6133,Sole Proprietorship,Digital Services,credit,10.75,0.0,0.0,2022-01-10,310,1
6135,Sole Proprietorship,Fashion & Beauty,credit,10.75,0.0,0.0,2022-06-27,9,0
6144,Limited Liability,General Services,credit,5.0,0.0,0.0,2022-01-19,13,0
6145,Limited Liability,Technology,credit,12000.0,0.0,0.0,2022-09-06,117,0
6147,Sole Proprietorship,Technology,credit,10.75,-71.03,-71.03,2022-02-17,6,0
6148,Enterprise,Technology,credit,1.0,0.0,0.0,2022-01-11,304,1
6151,Enterprise,Food & Beverage,credit,0.99,0.0,0.0,2022-01-20,325,1
6155,Sole Proprietorship,Restaurant and Food,credit,9.95,0.0,0.0,2022-01-11,1,0
6167,Enterprise,Leisure & Entertainment,credit,10.75,0.0,0.0,2022-01-13,342,1
6171,Enterprise,Religious Organizations,credit,53.75,0.0,0.0,2022-04-27,100,0
6175,Sole Proprietorship,Digital Services,credit,26.88,0.0,0.0,2022-01-17,10,0
6183,Limited Liability,E-Commerce,credit,1.96,0.0,0.0,2022-03-26,1,0
6186,Limited Liability,Financial Services,credit,10.0,-671.51,-671.51,2022-01-29,3,0
6187,Limited Liability,Financial Services,credit,0.0,-521.5,-521.5,2022-03-03,205,1
6188,Limited Liability,Construction,credit,10.75,0.0,0.0,2022-01-20,3,0
6194,Limited Liability,Technology,credit,12000.0,0.0,0.0,2022-01-13,349,1
6201,Enterprise,Fashion & Beauty,credit,6.0,-971.64,-971.64,2022-01-14,31,0
6203,Limited Liability,Technology,credit,6.0,-424.54,-424.54,2022-01-26,122,0
6205,Enterprise,Fashion & Beauty,credit,1100.0,0.0,0.0,2022-01-20,346,1
6207,Limited Liability,General Services,credit,10.75,0.0,0.0,2022-01-13,343,1
6210,Limited Liability,Leisure & Entertainment,credit,8.0,0.0,-7299.02,2022-01-25,2,0
6219,Limited Liability,Financial Services,credit,1000.0,0.0,0.0,2022-01-14,351,1
6224,Enterprise,Others,credit,0.99,0.0,0.0,2022-02-03,300,1
6228,Enterprise,Fashion & Beauty,credit,2.0,-990.75,-990.75,2022-01-18,205,1
6229,Sole Proprietorship,Agriculture,credit,10.75,0.0,0.0,2022-01-14,341,1
6230,Enterprise,Fashion & Beauty,credit,10.75,0.0,0.0,2022-02-02,330,1
6238,Limited Liability,Agriculture,credit,10.75,0.0,0.0,2022-01-28,327,1
6239,Enterprise,General Services,credit,0.99,-724.81,-724.81,2022-01-19,205,1
6242,Enterprise,General Services,credit,1.95,0.0,0.0,2022-01-18,245,1
6247,Enterprise,E-Commerce,credit,10.75,0.0,0.0,2022-02-25,153,0
6250,Sole Proprietorship,Digital Services,credit,10.75,0.0,0.0,2022-02-01,334,1
6260,Limited Liability,Others,credit,3.25,-980.76,-980.76,2022-01-17,18,0
6269,Enterprise,Hospitals & Health,credit,10.75,0.0,0.0,2022-02-02,333,1
6278,Sole Proprietorship,Others,credit,10.75,-494.98,-494.98,2022-02-13,9,0
6282,Sole Proprietorship,Food & Beverage,credit,10.75,-274.03,-274.03,2022-01-24,5,0
6285,Sole Proprietorship,Food & Beverage,credit,12000.0,0.0,0.0,2022-01-19,346,1
6292,Sole Proprietorship,Digital Services,credit,10.75,0.0,0.0,2022-02-04,186,1
6296,Enterprise,Fashion & Beauty,credit,26.88,0.0,0.0,2022-01-24,303,1
6298,Enterprise,Agriculture,credit,10.75,0.0,0.0,2022-02-22,92,0
6300,Enterprise,Financial Services,credit,0.99,0.0,0.0,2022-01-19,283,1
6312,Limited Liability,Food & Beverage,credit,10.75,0.0,0.0,2022-01-22,2,0
6314,Enterprise,Digital Services,credit,4.0,-950.16,-950.16,2022-01-21,19,0
6340,Sole Proprietorship,Utilities,credit,26.88,-127.59,-127.59,2022-01-21,7,0
6345,Sole Proprietorship,Digital Services,credit,10.75,-936.94,-936.94,2022-01-28,153,0
6350,Enterprise,Furniture,credit,4.0,0.0,0.0,2022-06-29,153,0
6351,Sole Proprietorship,Food & Beverage,credit,0.01,0.0,0.0,2022-01-31,4,0
6356,Limited Liability,Travel & Hospitality,credit,26.88,0.0,0.0,2022-01-23,6,0
6358,Enterprise,Digital Services,credit,100.0,0.0,0.0,2022-07-01,137,0
6369,Limited Liability,Technology,credit,9.85,0.0,0.0,2022-01-26,2,0
6370,Sole Proprietorship,E-Commerce,credit,10.75,0.0,0.0,2022-01-21,184,0
6379,Enterprise,Others,credit,10.75,0.0,0.0,2022-01-21,345,1
6380,Limited Liability,Digital Services,credit,10.75,0.0,0.0,2022-05-22,1,0
6385,Sole Proprietorship,Food & Beverage,credit,26.88,0.0,0.0,2022-01-23,26,0
6395,Limited Liability,Fashion & Beauty,credit,10.75,-289.98,-289.98,2022-01-24,1,0
6398,Enterprise,Fashion & Beauty,credit,500.0,0.0,0.0,2022-02-02,333,1
6401,Partnership,Fashion & Beauty,credit,10.75,0.0,0.0,2022-01-25,1,0
6408,Limited Liability,E-Commerce,credit,12000.0,0.0,0.0,2022-03-06,301,1
6410,Enterprise,Fashion & Beauty,credit,10.75,0.0,0.0,2022-04-07,269,1
6416,NGO,NGOs,credit,3.0,0.0,0.0,2022-02-24,1,0
6430,Limited Liability,General Services,credit,2.0,-500.0,-500.0,2022-02-28,205,1
6435,Limited Liability,Others,credit,15.0,0.0,0.0,2022-02-24,5,0
6437,Sole Proprietorship,General Services,credit,10.75,0.0,0.0,2022-01-26,1,0
6443,Partnership,General Services,credit,0.01,-1150.83,-1150.83,2022-01-26,1,0
6445,Sole Proprietorship,Hospitals & Health,credit,2.0,-1158.65,-1158.65,2022-04-11,1,0
6451,Sole Proprietorship,Hospitals & Health,credit,26.88,-376.29,-376.29,2022-03-01,2,0
6453,Sole Proprietorship,General Services,credit,7.0,0.0,0.0,2022-07-02,2,0
6456,Sole Proprietorship,E-Commerce,credit,3000.0,0.0,0.0,2022-01-28,136,0
6462,Limited Liability,Digital Services,credit,10.75,-899.59,-899.59,2022-02-07,1,0
6468,Limited Liability,Financial Services,credit,5.0,0.0,0.0,2022-08-08,2,0
6481,Enterprise,General Services,credit,10.75,0.0,0.0,2022-03-29,277,1
6482,Enterprise,Others,credit,0.99,0.0,-314.05,2022-01-31,75,0
6488,Limited Liability,Food & Beverage,credit,7.0,0.0,0.0,2022-02-10,12,0
6495,Sole Proprietorship,E-Commerce,credit,3000.0,0.0,0.0,2022-01-31,136,0
6498,Limited Liability,Others,credit,12000.0,0.0,0.0,2022-04-01,124,0
6500,Sole Proprietorship,Others,credit,26.88,0.0,0.0,2022-01-31,335,1
6516,Limited Liability,Food & Beverage,credit,10.75,0.0,0.0,2022-02-01,8,0
6517,Enterprise,General Services,credit,1.0,-991.5,-991.5,2022-03-13,205,1
6520,Limited Liability,Technology,credit,12000.0,0.0,0.0,2022-02-11,324,1
6527,Limited Liability,E-Commerce,credit,1000.0,0.0,0.0,2022-03-30,277,1
6535,Sole Proprietorship,Press & Media,credit,26.88,0.0,0.0,2022-02-01,31,0
6536,Enterprise,Fashion & Beauty,credit,10.75,0.0,0.0,2022-02-15,295,1
6537,Partnership,Others,credit,10.75,0.0,0.0,2022-10-13,36,0
6544,Limited Liability,Construction,credit,2.0,0.0,0.0,2022-02-02,61,0
6552,Limited Liability,Logistics,credit,10.75,-1182.05,-1182.05,2022-02-10,1,0
6557,Enterprise,Agriculture,credit,10.75,0.0,0.0,2022-02-03,321,1
6560,Enterprise,Leisure & Entertainment,credit,1000.0,0.0,0.0,2022-03-31,276,1
6561,Limited Liability,Financial Services,credit,10.75,0.0,0.0,2022-02-08,27,0
6568,Partnership,Schools,credit,5.85,0.0,0.0,2022-02-07,245,1
6573,Limited Liability,Digital Services,credit,10.75,0.0,0.0,2022-07-27,1,0
6575,Enterprise,Fashion & Beauty,credit,10.75,0.0,0.0,2022-03-23,283,1
6584,Enterprise,General Services,credit,3.0,0.0,0.0,2022-02-18,153,0
6588,Limited Liability,Technology,credit,10.75,-3002.63,-3002.63,2022-03-03,122,0
6590,Enterprise,Food & Beverage,credit,100.0,0.0,0.0,2022-03-05,302,1
6597,Enterprise,Household items,credit,0.0,0.0,0.0,2022-02-24,245,1
6600,Sole Proprietorship,General Services,credit,10.75,0.0,0.0,2022-02-09,14,0
6622,Limited Liability,Others,credit,26.88,0.0,0.0,2022-02-07,64,0
6623,Sole Proprietorship,General Services,credit,2.0,0.0,0.0,2022-06-29,153,0
6628,Enterprise,Digital Services,credit,10.75,0.0,0.0,2022-03-26,281,1
6632,Enterprise,Household items,credit,2000.0,0.0,0.0,2022-02-09,326,1
6633,Enterprise,General Services,credit,10.75,0.0,0.0,2022-02-15,265,1
6642,Limited Liability,Financial Services,credit,10.75,0.0,0.0,2022-02-14,15,0
6646,Limited Liability,Digital Services,credit,10.4,-598.9,-598.9,2022-02-10,1,0
6657,Enterprise,General Services,credit,1.0,0.0,0.0,2022-02-10,184,0
6659,Enterprise,Fashion & Beauty,credit,500.0,0.0,0.0,2022-06-12,203,1
6675,Sole Proprietorship,Logistics,credit,10.75,0.0,-2105.52,2022-03-04,20,0
6690,Sole Proprietorship,Logistics,credit,53.75,0.0,0.0,2022-04-30,245,1
6700,Enterprise,Household items,credit,10.75,0.0,0.0,2022-03-21,286,1
6709,Limited Liability,Construction,credit,20.0,0.0,0.0,2022-02-08,293,1
6713,Limited Liability,Utilities,credit,10.75,0.0,0.0,2022-02-21,1,0
6717,Enterprise,Electronics,credit,2000.0,0.0,0.0,2022-02-10,325,1
6719,Enterprise,Press & Media,credit,0.0,0.0,0.0,2022-02-28,245,1
6741,Enterprise,Electronics,credit,10.75,0.0,0.0,2022-02-09,325,1
6754,Partnership,Digital Services,credit,26.0,0.0,0.0,2022-07-05,22,0
6769,Limited Liability,Restaurant and Food,credit,0.99,0.0,0.0,2022-02-11,217,1
6773,Enterprise,Electronics,credit,10.75,0.0,0.0,2022-04-19,142,0
6782,Enterprise,Digital Services,credit,10.75,0.0,0.0,2022-02-12,268,1
6788,Enterprise,General Services,credit,10.75,0.0,0.0,2022-02-11,317,1
6793,Sole Proprietorship,Fashion & Beauty,credit,0.99,0.0,0.0,2022-02-16,5,0
6799,Sole Proprietorship,Technology,credit,1.0,0.0,0.0,2022-05-17,92,0
6802,Limited Liability,Financial Services,credit,10.75,-760.51,-760.51,2022-02-10,205,1
6803,Limited Liability,Technology,credit,0.0,0.0,0.0,2022-04-21,245,1
6807,Limited Liability,Digital Services,credit,10.75,0.0,0.0,2022-02-23,23,0
6816,Sole Proprietorship,Restaurant and Food,credit,10.75,0.0,0.0,2022-02-11,49,0
6825,Sole Proprietorship,Construction,credit,10.75,0.0,0.0,2022-09-10,3,0
6831,Enterprise,Technology,credit,10.75,0.0,0.0,2022-02-14,320,1
6834,Limited Liability,Technology,credit,10.75,0.0,0.0,2022-02-22,2,0
6837,Sole Proprietorship,Travel & Hospitality,credit,26.88,0.0,0.0,2022-02-19,184,0
6841,Enterprise,Financial Services,credit,6.0,-975.41,-975.41,2022-02-14,92,0
6842,Enterprise,Financial Services,credit,1000.0,0.0,0.0,2022-02-20,287,1
6844,Enterprise,Food & Beverage,credit,2000.0,0.0,0.0,2022-02-20,315,1
6845,Limited Liability,General Services,credit,0.0,-333.67,-333.67,2022-02-28,8,0
6846,Enterprise,Electronics,credit,4.0,0.0,0.0,2022-02-20,184,0
6848,Enterprise,General Services,credit,3.0,-21.5,-21.5,2022-03-08,205,1
6853,Enterprise,General Services,credit,10.75,0.0,0.0,2022-02-17,296,1
6857,Sole Proprietorship,Others,credit,10.75,0.0,0.0,2022-02-21,27,0
6859,Sole Proprietorship,Fashion & Beauty,credit,10.75,0.0,0.0,2022-02-14,3,0
6860,NGO,NGOs,credit,26.88,0.0,0.0,2022-02-16,1,0
6863,Enterprise,Food & Beverage,credit,10.75,0.0,0.0,2022-03-11,1,0
6866,Enterprise,Food & Beverage,credit,2000.0,0.0,0.0,2022-03-24,281,1
6879,Sole Proprietorship,Fashion & Beauty,credit,10.75,0.0,0.0,2022-02-26,18,0
6882,Limited Liability,Digital Services,credit,10.75,0.0,0.0,2022-02-14,245,1
6895,Enterprise,Press & Media,credit,10.75,0.0,0.0,2022-02-16,318,1
6897,Partnership,E-Commerce,credit,9.96,0.0,0.0,2022-02-21,1,0
6899,Enterprise,Financial Services,credit,10.75,0.0,0.0,2022-03-21,281,1
6901,Limited Liability,Restaurant and Food,credit,9.95,0.0,0.0,2022-02-18,263,1
6904,Enterprise,Technology,credit,7.15,0.0,0.0,2022-02-18,245,1
6906,Limited Liability,Others,credit,12000.0,0.0,0.0,2022-05-07,239,1
6908,Enterprise,Digital Services,credit,9.95,-895.9,-895.9,2022-02-16,31,0
6910,Enterprise,Digital Services,credit,26.88,0.0,0.0,2022-03-03,61,0
6913,Limited Liability,Others,credit,10.75,0.0,0.0,2022-08-13,13,0
6931,Sole Proprietorship,Construction,credit,10.75,0.0,0.0,2022-02-18,297,1
6939,Enterprise,Technology,credit,10.75,0.0,0.0,2022-02-25,274,1
6941,Sole Proprietorship,Food & Beverage,credit,3.0,0.0,0.0,2022-06-22,184,0
6948,Enterprise,Technology,credit,2000.0,0.0,0.0,2022-03-01,306,1
6974,Enterprise,Electronics,credit,10.75,0.0,0.0,2022-03-17,270,1
6977,NGO,Others,credit,3.9,0.0,0.0,2022-02-19,4,0
6983,Enterprise,Financial Services,credit,26.88,0.0,0.0,2022-02-23,282,1
6986,Enterprise,Digital Services,credit,10.75,0.0,0.0,2022-02-26,309,1
6990,Partnership,Others,credit,10.75,0.0,0.0,2022-02-22,278,1
6991,Partnership,General Services,credit,10.75,0.0,0.0,2022-02-18,92,0
6996,Enterprise,Fashion & Beauty,credit,2.0,0.0,0.0,2022-03-08,184,0
7000,Partnership,Technology,credit,3.0,-639.65,-639.65,2022-03-04,205,1
7001,Sole Proprietorship,Technology,credit,10.75,-516.64,-516.64,2022-02-25,5,0
7019,Enterprise,Technology,credit,50.0,0.0,0.0,2022-03-18,289,1
7026,Sole Proprietorship,E-Commerce,credit,10.0,0.0,0.0,2022-10-19,3,0
7051,Sole Proprietorship,E-Commerce,credit,26.88,0.0,0.0,2022-05-31,2,0
7079,Sole Proprietorship,Technology,credit,10.75,0.0,0.0,2022-02-22,313,1
7089,Limited Liability,Technology,credit,26.88,-25947.42,-25947.42,2022-03-01,25,0
7090,Limited Liability,Others,credit,10.75,-458.19,-458.19,2022-04-01,92,0
7093,Enterprise,Digital Services,credit,10.75,0.0,0.0,2022-04-13,245,1
7106,Enterprise,Financial Services,credit,1.0,0.0,0.0,2022-02-23,184,0
7115,Enterprise,General Services,credit,26.88,0.0,0.0,2022-03-15,23,0
7118,Enterprise,General Services,credit,2.0,0.0,0.0,2022-03-24,184,0
7129,Enterprise,Technology,credit,26.88,0.0,0.0,2022-02-25,310,1
7134,Enterprise,Technology,credit,2.0,0.0,0.0,2022-03-15,122,0
7145,Sole Proprietorship,Technology,credit,10.75,-452.02,-462.04,2022-02-24,7,0
7146,Limited Liability,Financial Services,credit,12000.0,0.0,0.0,2022-03-02,305,1
7156,Enterprise,Household items,credit,10.75,0.0,0.0,2022-03-05,299,1
7161,Sole Proprietorship,Technology,credit,20.0,0.0,0.0,2022-03-09,31,0
7169,Enterprise,Agriculture,credit,10.75,0.0,0.0,2022-02-25,300,1
7176,Sole Proprietorship,Auto Parts,credit,26.88,0.0,0.0,2022-02-28,1,0
7179,Limited Liability,General Services,credit,26.88,0.0,0.0,2022-03-15,22,0
7181,Limited Liability,E-Commerce,credit,10.75,0.0,0.0,2022-03-01,1,0
7183,Sole Proprietorship,Others,credit,1000.0,0.0,0.0,2022-02-28,302,1
7193,Sole Proprietorship,Fashion & Beauty,credit,3.25,0.0,0.0,2022-03-17,245,1
7201,Limited Liability,Logistics,credit,10.75,0.0,0.0,2022-03-04,1,0
7205,Limited Liability,General Services,credit,12000.0,0.0,0.0,2022-05-12,206,1
7214,Limited Liability,Construction,credit,10.75,0.0,0.0,2022-02-28,122,0
7221,Limited Liability,Digital Services,credit,26.88,0.0,0.0,2022-03-16,205,1
7222,Limited Liability,Others,credit,10.75,0.0,0.0,2022-03-03,1,0
7230,Sole Proprietorship,Fashion & Beauty,credit,10.75,0.0,0.0,2022-04-01,2,0
7231,Limited Liability,General Services,credit,10.0,0.0,0.0,2022-03-05,12,0
7238,Enterprise,Others,credit,26.88,0.0,0.0,2022-03-03,298,1
7239,Sole Proprietorship,Fashion & Beauty,credit,10.75,-339.46,-3512.07,2022-03-03,19,0
7243,Limited Liability,Financial Services,credit,20000.0,0.0,0.0,2022-03-07,300,1
7250,Limited Liability,Technology,credit,492.5,0.0,0.0,2022-11-11,4,0
7252,Sole Proprietorship,Food & Beverage,credit,10.75,0.0,0.0,2022-11-29,1,0
7263,Enterprise,Electronics,credit,10.75,0.0,0.0,2022-03-24,283,1
7268,Enterprise,Technology,credit,10.75,0.0,0.0,2022-03-08,61,0
7270,Sole Proprietorship,Leisure & Entertainment,credit,10.0,-180.81,-180.81,2022-03-07,4,0
7284,Limited Liability,Others,credit,26.88,0.0,0.0,2022-03-11,8,0
7286,Enterprise,Agriculture,credit,2.0,-961.5,-961.5,2022-05-08,205,1
7288,Enterprise,Technology,credit,10.75,0.0,0.0,2022-03-08,297,1
7289,Limited Liability,Digital Services,credit,30.0,0.0,0.0,2022-06-07,146,0
7291,Enterprise,Others,credit,10.75,0.0,0.0,2022-03-04,13,0
7295,Enterprise,Electronics,credit,100.0,0.0,0.0,2022-03-15,292,1
7305,Enterprise,Financial Services,credit,10.75,0.0,0.0,2022-03-21,275,1
7309,Enterprise,Press & Media,credit,53.75,-661.25,-661.25,2022-03-18,205,1
7313,Enterprise,General Services,credit,2.0,0.0,0.0,2022-03-08,31,0
7320,Enterprise,Restaurant and Food,credit,2.0,-954.55,-954.55,2022-03-05,205,1
7327,Enterprise,General Services,credit,9.0,-968.26,-968.26,2022-04-04,205,1
7330,Limited Liability,Technology,credit,10.75,0.0,0.0,2022-03-07,1,0
7332,Sole Proprietorship,Others,credit,12000.0,0.0,0.0,2022-06-02,213,1
7333,Limited Liability,Others,credit,10.75,-239.45,-239.45,2022-03-31,8,0
7334,Sole Proprietorship,Agriculture,credit,1.0,0.0,0.0,2022-03-08,4,0
7355,Enterprise,General Services,credit,26.88,0.0,0.0,2022-04-01,266,1
7364,Sole Proprietorship,Technology,credit,16.0,0.0,0.0,2022-05-07,92,0
7365,Sole Proprietorship,Technology,credit,26.88,0.0,0.0,2022-03-16,122,0
7373,Enterprise,Fashion & Beauty,credit,9.0,-37.63,-37.63,2022-04-26,170,0
7380,Enterprise,Food & Beverage,credit,10.75,0.0,0.0,2022-03-07,279,1
7388,Limited Liability,Technology,credit,4.0,-481.31,-481.31,2022-03-09,3,0
7443,Limited Liability,Financial Services,credit,53.75,0.0,0.0,2022-03-08,286,1
7449,Enterprise,Agriculture,credit,10.75,0.0,0.0,2022-03-28,272,1
7454,Enterprise,General Services,credit,10.75,0.0,0.0,2022-03-13,275,1
7465,Limited Liability,Financial Services,credit,49.25,0.0,0.0,2022-03-14,232,1
7579,Sole Proprietorship,Financial Services,credit,100.0,0.0,0.0,2022-03-10,297,1
7581,Limited Liability,Travel & Hospitality,credit,10.75,0.0,0.0,2022-03-09,1,0
7590,Enterprise,Digital Services,credit,10.75,0.0,0.0,2022-03-10,293,1
7591,Limited Liability,Digital Services,credit,300.0,0.0,0.0,2022-08-30,118,0
7644,Enterprise,General Services,credit,10.75,0.0,0.0,2022-04-02,272,1
7650,Enterprise,Fashion & Beauty,credit,10.75,0.0,0.0,2022-03-14,274,1
7652,Limited Liability,Technology,credit,10.75,0.0,0.0,2022-03-16,276,1
7663,Partnership,E-Commerce,credit,26.88,-45146.44,-45146.44,2022-03-13,92,0
7665,Enterprise,Fashion & Beauty,credit,5000.0,0.0,0.0,2022-03-14,293,1
7671,Partnership,Leisure & Entertainment,credit,53.75,0.0,0.0,2022-03-11,267,1
7692,Limited Liability,Digital Services,credit,12000.0,0.0,0.0,2022-08-29,125,0
7703,Enterprise,General Services,credit,10.75,0.0,0.0,2022-03-11,286,1
7710,Limited Liability,Technology,credit,26.88,0.0,0.0,2022-06-07,92,0
7734,Enterprise,E-Commerce,credit,10.75,0.0,0.0,2022-03-14,291,1
7765,Enterprise,Food & Beverage,credit,9.0,0.0,0.0,2022-04-07,153,0
7821,Limited Liability,Financial Services,credit,10.75,0.0,0.0,2022-03-14,293,1
7826,Enterprise,Food & Beverage,credit,10.75,-648.65,-648.65,2022-03-17,1,0
7833,Enterprise,Digital Services,credit,4.0,0.0,0.0,2022-03-25,122,0
7843,Enterprise,Agriculture,credit,10.75,0.0,0.0,2022-03-23,265,1
7845,Sole Proprietorship,Technology,credit,1.0,0.0,0.0,2022-03-14,293,1
7852,Sole Proprietorship,E-Commerce,credit,6.0,-903.42,-903.42,2022-04-08,122,0
